Group,Treatment,Replicate,RelativeFitness
BKB,Tube,1,0.869962556
BKB,Tube,2,1.000362991
BKB,Tube,3,0.98293509
BAC,Tube,1,0.810391635
BAC,Tube,2,0.795106572
JDK,Tube,1,0.849203582
JDK,Tube,2,0.917636978
JDK,Tube,3,0.905323024
ETH,Tube,1,0.930820887
ETH,Tube,2,0.958183318
ETH,Tube,3,0.914288233
SWI,Tube,1,0.918513533
SWI,Tube,2,0.909023164
SWI,Tube,3,0.928404818
PPP,Tube,1,0.990500458
PPP,Tube,2,0.971564642
PPP,Tube,3,0.948766906
ECO,Tube,1,0.996870763
ECO,Tube,2,0.976750424
ECO,Tube,3,0.939479247
DOS,Tube,1,0.946164279
DOS,Tube,2,0.951056617
DOS,Tube,3,0.939563176
FIT,Tube,1,0.942215594
FIT,Tube,2,0.926698027
FIT,Tube,3,1.000317508
HHE,Tube,1,0.944414164
HHE,Tube,2,0.951945921
HHE,Tube,3,0.922485752
H2W,Tube,1,0.915304499
H2W,Tube,2,0.853906228
H2W,Tube,3,0.938698147
BKB,Dish,1,1.152544276
BKB,Dish,2,1.28708515
BKB,Dish,3,1.50741546
BAC,Dish,2,1.652234191
BAC,Dish,3,1.615022302
JDK,Dish,1,1.510268262
JDK,Dish,2,1.582700782
JDK,Dish,3,1.547151529
ETH,Dish,1,1.61281556
ETH,Dish,2,1.364455725
ETH,Dish,3,1.471552337
SWI,Dish,1,1.362555607
SWI,Dish,2,1.515692287
SWI,Dish,3,1.477141217
PPP,Dish,1,1.508969174
PPP,Dish,2,1.581385929
PPP,Dish,3,1.553568391
ECO,Dish,1,1.699275648
ECO,Dish,2,1.456056681
ECO,Dish,3,1.528257625
DOS,Dish,1,1.5945312
DOS,Dish,2,1.581325114
DOS,Dish,3,1.585586839
FIT,Dish,1,1.014685783
FIT,Dish,2,0.955220815
FIT,Dish,3,1.035972985
HHE,Dish,1,1.493994221
HHE,Dish,2,1.329802785
HHE,Dish,3,1.450522068
H2W,Dish,1,1.524601435
H2W,Dish,2,1.539582476
H2W,Dish,3,1.511498975
"</pre></body></html>Xtext/csvUUTF-8(?N`vÓ¥ƒ		ö",,,
"	_",,,
